returns,ifs,loops,parse_ok,loc,comments,source,task_id
2,2,2,True,7,0,human,HumanEval/0
0,0,0,False,26,0,ai,HumanEval/0
1,3,1,True,14,0,human,HumanEval/1
0,0,0,False,20,8,ai,HumanEval/1
1,0,0,True,1,0,human,HumanEval/2
0,0,0,False,30,0,ai,HumanEval/2
2,1,1,True,6,0,human,HumanEval/3
0,0,0,False,34,0,ai,HumanEval/3
1,0,0,True,2,0,human,HumanEval/4
0,0,0,False,30,0,ai,HumanEval/4
2,1,1,True,8,0,human,HumanEval/5
0,0,0,False,50,0,ai,HumanEval/5
2,1,1,True,11,0,human,HumanEval/6
0,0,0,False,22,0,ai,HumanEval/6
1,0,0,True,1,0,human,HumanEval/7
0,0,0,False,27,0,ai,HumanEval/7
1,0,1,True,6,0,human,HumanEval/8
0,0,0,False,35,2,ai,HumanEval/8
1,1,1,True,9,0,human,HumanEval/9
0,0,0,False,25,0,ai,HumanEval/9
3,1,1,True,6,0,human,HumanEval/10
0,0,0,False,24,0,ai,HumanEval/10
3,1,0,True,6,0,human,HumanEval/11
0,0,0,False,23,0,ai,HumanEval/11
2,2,1,True,6,0,human,HumanEval/12
0,0,0,False,26,0,ai,HumanEval/12
1,0,1,True,3,0,human,HumanEval/13
0,0,0,False,50,0,ai,HumanEval/13
1,0,1,True,4,0,human,HumanEval/14
0,0,0,False,25,0,ai,HumanEval/14
1,0,0,True,1,0,human,HumanEval/15
0,0,0,False,27,0,ai,HumanEval/15
1,0,0,True,1,0,human,HumanEval/16
0,0,0,False,35,0,ai,HumanEval/16
1,0,0,True,2,0,human,HumanEval/17
0,0,0,False,2,3,ai,HumanEval/17
1,1,1,True,5,0,human,HumanEval/18
0,0,0,False,40,0,ai,HumanEval/18
1,0,0,True,13,0,human,HumanEval/19
0,0,0,False,38,0,ai,HumanEval/19
1,3,2,True,14,0,human,HumanEval/20
0,0,0,False,36,1,ai,HumanEval/20
1,0,0,True,3,0,human,HumanEval/21
0,0,0,False,17,0,ai,HumanEval/21
1,0,0,True,1,0,human,HumanEval/22
0,0,0,False,30,0,ai,HumanEval/22
1,0,0,True,1,0,human,HumanEval/23
0,0,0,False,50,0,ai,HumanEval/23
1,1,1,True,3,0,human,HumanEval/24
0,0,0,False,43,0,ai,HumanEval/24
1,2,1,True,12,0,human,HumanEval/25
0,0,0,False,34,0,ai,HumanEval/25
1,0,0,True,3,0,human,HumanEval/26
0,0,0,False,12,0,ai,HumanEval/26
1,0,0,True,1,0,human,HumanEval/27
0,0,0,False,44,0,ai,HumanEval/27
1,0,0,True,1,0,human,HumanEval/28
0,0,0,False,27,0,ai,HumanEval/28
1,0,0,True,1,0,human,HumanEval/29
0,0,0,False,27,0,ai,HumanEval/29
1,0,0,True,1,0,human,HumanEval/30
0,0,0,False,26,0,ai,HumanEval/30
3,2,1,True,6,0,human,HumanEval/31
0,0,0,False,63,0,ai,HumanEval/31
2,1,2,True,11,0,human,HumanEval/32
0,0,0,False,26,0,ai,HumanEval/32
1,0,0,True,3,0,human,HumanEval/33
0,0,0,False,29,0,ai,HumanEval/33
1,0,0,True,1,0,human,HumanEval/34
0,0,0,False,26,1,ai,HumanEval/34
1,1,1,True,5,0,human,HumanEval/35
0,0,0,False,29,0,ai,HumanEval/35
1,1,2,True,9,0,human,HumanEval/36
0,0,0,False,38,0,ai,HumanEval/36
1,1,1,True,9,0,human,HumanEval/37
0,0,0,False,35,0,ai,HumanEval/37
2,0,0,True,1,0,human,HumanEval/38
4,0,0,True,17,6,ai,HumanEval/38
4,4,2,True,15,0,human,HumanEval/39
0,0,0,False,38,0,ai,HumanEval/39
2,1,3,True,6,0,human,HumanEval/40
0,0,0,False,35,3,ai,HumanEval/40
1,0,0,True,1,0,human,HumanEval/41
0,0,0,False,26,0,ai,HumanEval/41
1,0,0,True,1,0,human,HumanEval/42
0,0,0,False,23,0,ai,HumanEval/42
2,1,2,True,5,0,human,HumanEval/43
0,0,0,False,39,1,ai,HumanEval/43
1,0,1,True,5,0,human,HumanEval/44
4,3,0,True,27,0,ai,HumanEval/44
1,0,0,True,1,0,human,HumanEval/45
0,0,0,False,21,2,ai,HumanEval/45
2,1,1,True,7,0,human,HumanEval/46
0,0,0,False,39,0,ai,HumanEval/46
2,1,0,True,5,0,human,HumanEval/47
0,0,0,True,32,1,ai,HumanEval/47
2,1,1,True,4,0,human,HumanEval/48
5,0,0,True,65,0,ai,HumanEval/48
1,0,1,True,4,0,human,HumanEval/49
0,0,0,False,43,0,ai,HumanEval/49
2,0,0,True,1,0,human,HumanEval/50
0,0,0,False,28,0,ai,HumanEval/50
1,0,0,True,1,0,human,HumanEval/51
